0, TP = 0, TN = 15922, FP =  0, FN =  462, spe = 0.000000, sen =  0.000000
1, TP = 5, TN = 15922, FP =  0, FN =  457, spe = 0.010823, sen =  0.000000
2, TP = 7, TN = 15922, FP =  0, FN =  455, spe = 0.015152, sen =  0.000000
3, TP = 10, TN = 15922, FP =  0, FN =  452, spe = 0.021645, sen =  0.000000
4, TP = 16, TN = 15921, FP =  1, FN =  446, spe = 0.034632, sen =  0.000063
5, TP = 22, TN = 15921, FP =  1, FN =  440, spe = 0.047619, sen =  0.000063
6, TP = 23, TN = 15921, FP =  1, FN =  439, spe = 0.049784, sen =  0.000063
7, TP = 31, TN = 15921, FP =  1, FN =  431, spe = 0.067100, sen =  0.000063
8, TP = 41, TN = 15921, FP =  1, FN =  421, spe = 0.088745, sen =  0.000063
9, TP = 46, TN = 15921, FP =  1, FN =  416, spe = 0.099567, sen =  0.000063
10, TP = 52, TN = 15921, FP =  1, FN =  410, spe = 0.112554, sen =  0.000063
11, TP = 60, TN = 15921, FP =  1, FN =  402, spe = 0.129870, sen =  0.000063
12, TP = 63, TN = 15920, FP =  2, FN =  399, spe = 0.136364, sen =  0.000126
13, TP = 64, TN = 15920, FP =  2, FN =  398, spe = 0.138528, sen =  0.000126
14, TP = 74, TN = 15920, FP =  2, FN =  388, spe = 0.160173, sen =  0.000126
15, TP = 77, TN = 15920, FP =  2, FN =  385, spe = 0.166667, sen =  0.000126
16, TP = 89, TN = 15920, FP =  2, FN =  373, spe = 0.192641, sen =  0.000126
17, TP = 96, TN = 15920, FP =  2, FN =  366, spe = 0.207792, sen =  0.000126
18, TP = 105, TN = 15920, FP =  2, FN =  357, spe = 0.227273, sen =  0.000126
19, TP = 115, TN = 15920, FP =  2, FN =  347, spe = 0.248918, sen =  0.000126
20, TP = 120, TN = 15920, FP =  2, FN =  342, spe = 0.259740, sen =  0.000126
21, TP = 134, TN = 15920, FP =  2, FN =  328, spe = 0.290043, sen =  0.000126
22, TP = 148, TN = 15920, FP =  2, FN =  314, spe = 0.320346, sen =  0.000126
23, TP = 149, TN = 15920, FP =  2, FN =  313, spe = 0.322511, sen =  0.000126
